doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
93,0.017,0.066,0.134,0.036,0.112,0.028,0.036,0.022,0.089,0.005,0.051,0.136,0.029,0.005,0.019,0.029,0.031,0.012,0.087,0.022,0.073,0.126,
94,0.007,0.067,0.118,0.036,0.118,0.031,0.036,0.022,0.069,0.007,0.041,0.135,0.037,0.009,0.019,0.029,0.031,0.01,0.086,0.019,0.068,0.105,
95,0,0.061,0.12,0.037,0.116,0.019,0.032,0.022,0.055,0.005,0.013,0.123,0.049,0.007,0.014,0.024,0.031,0.009,0.087,0.025,0.06,0.094,
96,0.005,0.047,0.105,0.033,0.111,0.046,0.029,0.024,0.056,0.005,0.018,0.118,0.052,0.005,0.016,0.017,0.031,0.003,0.083,0.023,0.057,0.08,
97,0.005,0.037,0.095,0.044,0.092,0.044,0.037,0.019,0.04,0.005,0.019,0.105,0.034,0.005,0.015,0.014,0.032,0.003,0.066,0.02,0.045,0.081,
98,0.005,0.032,0.091,0.036,0.069,0.041,0.035,0.014,0.048,0.005,0.019,0.106,0.023,0.003,0.012,0.009,0.029,0.003,0.056,0.017,0.035,0.069,
99,0.005,0.027,0.092,0.034,0.036,0.041,0.035,0.017,0.051,0.005,0.019,0.105,0.02,0.003,0.016,0.012,0.029,0.003,0.049,0.013,0.033,0.063,
100,0.012,0.024,0.091,0.037,0.036,0.032,0.046,0.019,0.05,0.003,0.039,0.097,0.024,0.005,0.016,0.012,0.026,0.007,0.058,0.037,0.067,0.058,
101,0.007,0.021,0.084,0.032,0.031,0.027,0.026,0.019,0.047,0.005,0.054,0.096,0.024,0.003,0.057,0.014,0.023,0.007,0.053,0.041,0.094,0.059,
102,0.007,0.021,0.074,0.029,0.029,0.023,0.012,0.009,0.05,0.005,0.075,0.089,0.022,0.003,0.069,0.016,0.025,0.005,0.051,0.042,0.097,0.06,
103,0.007,0.018,0.075,0.027,0.026,0.019,0.02,0.003,0.039,0.005,0.075,0.071,0.022,0.004,0.068,0.016,0.024,0.003,0.041,0.029,0.094,0.052,
104,0.007,0.018,0.075,0.034,0.027,0.012,0.02,0.003,0.036,0.005,0.052,0.075,0.017,0.003,0.059,0.019,0.014,0.003,0.04,0.029,0.077,0.051,
105,0.001,,0.066,0.024,0.026,0.005,0.018,0.003,0.036,0.003,0.032,0.069,0.015,0.003,0.051,0.019,0.014,0.003,0.039,0.029,0.042,0.046,
106,0.001,0.014,0.066,0.024,0.023,0.005,0.019,0.003,0.052,0.003,0.029,0.058,0.018,0.003,0.038,0.014,0.016,0.003,0.034,0.027,0.037,0.043,
107,0.003,0.013,0.022,0.027,0.021,0.008,0.028,0.008,0.056,0.003,0.029,0.055,0.02,0.003,0.022,0.009,0.019,0.003,0.038,0.027,0.029,0.04,
108,0.003,0.007,0.027,0.027,0.021,0.008,0.027,0.003,0.059,0.003,0.024,0.059,0.017,0.003,0.019,0.007,0.017,0.003,0.039,0.015,0.027,0.05,
109,0.003,0.016,0.026,0.006,0.013,0.008,0.03,0.003,0.051,0.003,0.016,0.059,0.029,0.003,0.018,0.004,0.009,0.003,0.069,0.013,0.017,0.044,
110,0.003,0.03,0.036,0.003,0.011,0.003,0.031,0.003,0.039,0.003,0.01,0.058,0.03,0,0.01,0.009,0.012,0.005,0.128,0.012,0.014,0.039,
111,0.005,0.032,0.03,0.003,0.011,0.003,0.027,0.003,0.037,0.003,0.021,0.052,0.025,0.003,0.005,0.004,0.009,0.003,0.133,0.009,0.005,0.037,
112,0.003,0.02,0.03,0.003,0.008,0.009,0.022,0.003,0.032,0.003,0.024,0.057,0.019,0,0.018,0.004,0.013,0.003,0.129,0.004,0.009,0.037,
113,0.003,0.018,0.03,0.014,0.005,0.019,0.021,0.003,0.031,0.003,0.024,0.06,0.019,0,0.094,0.004,0.008,0.003,0.116,0.001,0.007,0.034,
