doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
78,0.428,0,0.732,0.597,0.428,0.597,0.597,0.428,0.524,0.175,0.76,0.881,0.524,0.428,0.394,0.16,0.469,0,0.597,0.566,0.376,0.881,
79,0.428,,0.735,0.597,0.428,0.342,0.597,0.5,0.524,0.175,0.76,0.881,0.524,0.428,0.474,0.367,0.469,0,0.597,0.524,0.376,0.94,
80,0.428,,0.448,0.554,0.428,0.209,0.597,0.428,0.487,0.079,0.657,0.693,0.524,0.079,0.524,0.367,0.515,0,0.597,0.815,0.376,0,
81,0.272,,0.448,0.554,0.428,0.209,0.597,0.428,0.487,0,0.428,0.597,0.524,0.079,0.524,0.367,0.428,0,0.597,0.631,0.376,0.022,
82,0.175,,0,0.597,0.428,0.209,0.554,0.428,0.428,0,0.474,0.597,0.428,0.079,0.524,0.367,0.376,0,0.565,0.524,0.302,0.881,
83,0.175,,0.854,0.597,0.214,0.209,0.554,0.356,0.524,0,0.428,0.597,0.428,0.079,0.597,0.367,0.376,0,0.565,0.524,0.302,0.881,
84,0.175,,0.851,0.597,0.428,0.209,0.515,0.272,0.524,0,0.428,0.597,0.322,0,0.5,0.367,0.376,0,0.517,0.524,0.759,0.881,
85,0.175,,0.851,0.524,0.428,0.112,0.331,0.175,0.657,0,0.428,0.658,0.356,0,0.428,0.287,0.376,0,0.444,0.524,0.759,0.881,
86,0.175,,0.851,0.524,0.428,0.112,0.376,0,0.575,0.079,0.428,0.658,0.356,0,0.428,0.13,0.376,0,0,0.428,0.688,0.881,
87,0.079,1,0.866,0.481,0.428,0,0.376,0,0.565,0.079,0.428,0.658,0.356,0,0.376,0.356,0.376,0.079,0,0.428,0.688,0.879,
88,0.079,1,0.866,0.481,0.428,0,0.376,0,0.565,0,0.428,0.658,0.287,0,0.376,0.524,0.376,0.175,0,0.302,0.688,0.879,
89,0.079,1,0.866,0.224,0.356,0,0.376,0,0.565,0,0.428,0.658,0.287,0.079,0.184,0.597,0.302,0.175,0,0.209,0.597,0.787,
90,0.079,1,0.866,0.224,0.356,0.114,0.376,0,0.597,0,0.376,0.525,0.259,0.079,0.096,0.597,0.302,0.175,0.634,0.208,0.597,0.787,
91,0.079,1,0.866,0.224,0.109,0.114,0.376,0.079,0.597,0,0.297,0.565,0.259,0.079,0.094,0.524,0.367,0,0.554,0.344,0.524,0.879,
92,0.079,0.44,0.69,0.112,0.597,0.114,0.302,0.079,0.597,0,0.297,0.597,0,0,0.085,0.428,0.332,0,0.554,0.28,0.474,0.597,
