doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
76,0.305,0.198,0.458,0.372,0.409,0.341,0.409,0.291,0.381,0.255,0.49,0.517,0.262,0.409,0.32,0.246,0.305,0.182,0.409,0.262,0.246,0.667,
77,0.305,0.198,0.458,0.372,0.35,0.262,0.409,0.291,0.381,0.291,0.458,0.517,0.246,0.409,0.32,0.317,0.262,0.175,0.409,0.262,0.246,0.667,
78,0.246,0.198,0.458,0.409,0.35,0.262,0.35,0.291,0.381,0.291,0.458,0.517,0.246,0.305,0.32,0.282,0.262,0.175,0.409,0.262,0.246,0.667,
79,0.246,,0.474,0.409,0.305,0.246,0.35,0.291,0.381,0.246,0.409,0.517,0.246,0.246,0.409,0.235,0.262,0.175,0.35,0.372,0.246,0.628,
80,0.246,,0.306,0.305,0.246,0.246,0.35,0.246,0.275,0.21,0.372,0.458,0.291,0.246,0.409,0.28,0.262,0.175,0.35,0.372,0.246,0,
81,0.246,,0.257,0.305,0.246,0.246,0.32,0.246,0.275,0.21,0.168,0.458,0.291,0.21,0.409,0.28,0.246,0.119,0.35,0.391,0.246,0,
82,0.246,,0.257,0.305,0.246,0.246,0.32,0.246,0.275,0.154,0.262,0.409,0.291,0.21,0.409,0.233,0.246,0.175,0.32,0.391,0.271,0.583,
83,0.246,,0.504,0.35,0.246,0.246,0.275,0.246,0.35,0.119,0.305,0.409,0.246,0.119,0.409,0.167,0.246,0.119,0.32,0.35,0.271,0.549,
84,0.246,,0.43,0.35,0.246,0.246,0.275,0.246,0.35,0.119,0.305,0.409,0.246,0.119,0.35,0.256,0.246,0.119,0.275,0.35,0.365,0.549,
85,0.246,,0.43,0.35,0.246,0.246,0.25,0.211,0.396,0.119,0.305,0.409,0.246,0.119,0.35,0.218,0.246,0.119,0.274,0.246,0.409,0.549,
86,0.246,,0.409,0.35,0.246,0.218,0.246,0.211,0.396,0.119,0.305,0.409,0.246,0.119,0.246,0.216,0.246,0.119,0.37,0.246,0.409,0.549,
87,0.246,0.908,0.409,0.35,0.246,0.218,0.246,0.211,0.409,0.123,0.305,0.409,0.246,0.06,0.246,0.216,0.246,0.119,0.37,0.246,0.409,0.549,
88,0.21,0.908,0.409,0.262,0.246,0.218,0.246,0.211,0.409,0.118,0.246,0.372,0.182,0.06,0.246,0.246,0.246,0.119,0.424,0.219,0.409,0.549,
89,0.21,0.908,0.409,0.233,0.246,0.133,0.246,0.128,0.409,0.119,0.246,0.372,0.182,0.151,0.246,0.246,0.246,0.119,0.424,0.219,0.409,0.517,
90,0.21,0.854,0.458,0.261,0.246,0.133,0.246,0.182,0.409,0.06,0.246,0.33,0.182,0.151,0.26,0.246,0.246,0.119,0.454,0.171,0.409,0.458,
91,0.21,0.854,0.458,0.233,0.189,0.133,0.246,0.246,0.409,0.06,0.246,0.372,0.182,0.151,0.182,0.246,0.246,0.119,0.305,0.073,0.409,0.458,
92,0.224,0.41,0.409,0.233,0.35,0.133,0.246,0.246,0.35,0.06,0.246,0.409,0.001,0.06,0.175,0.246,0.246,0.119,0.305,0.073,0.309,0.399,
93,0.224,0.293,0.409,0.233,0.409,0.076,0.285,0.246,0.35,0.06,0.246,0.409,0.175,0.06,0.175,0.246,0.246,0.118,0.305,0.073,0.405,0.399,
94,0.21,0.28,0.409,0.233,0.409,0,0.285,0.19,0.291,0.06,0.218,0.409,0.21,0.059,0.175,0.21,0.219,0.118,0.305,0.073,0.291,0.409,
95,0.002,0.28,0.372,0.245,0.409,0.083,0.285,0.19,0.246,0.059,0.189,0.35,0.21,0.059,0.119,0.175,0.219,0.06,0.305,0.133,0.291,0.409,
96,0.127,0.305,0.372,0.26,0.409,0.218,0.285,0.155,0.246,0.06,0.246,0.35,0.21,0,0.175,0.175,0.219,0.059,0.305,0.128,0.246,0.387,
97,0.119,0.246,0.325,0.246,0.291,0.218,0.331,0.119,0.259,0.059,0.219,0.35,0.21,0,0.119,0.155,0.246,0.059,0.305,0.16,0.246,0.305,
98,0.175,0.246,0.305,0.246,0.246,0.246,0.256,0.064,0.246,0.059,0.219,0.35,0.21,0,0.119,0.119,0.246,0.059,0.305,0.225,0.199,0.305,
99,0.175,0.246,0.246,0.246,0.151,0.246,0.3,0.064,0.246,0.059,0.219,0.35,0.21,0,0.175,0.119,0.246,0.059,0.305,0.273,0.199,0.305,
100,0.06,0.246,0.246,0.246,0.246,0.246,0.272,0.06,0.246,0.062,0.246,0.35,0.21,0,0.175,0.119,0.246,0.059,0.246,0.167,0.246,0.35,
101,0.059,0.21,0.35,0.246,0.246,0.246,0.237,0.059,0.246,0.059,0.21,0.35,0.21,0,0.211,0.119,0.218,0,0.246,0.199,0.35,0.246,
102,0.059,0.21,0.409,0.246,0.246,0.21,0.127,0.059,0.246,0.059,0.291,0.35,0.161,0,0.248,0.118,0.218,0,0.246,0.199,0.35,0.246,
103,0.059,0.21,0.409,0.246,0.246,0.161,0.226,0.059,0.246,0.059,0.291,0.291,0.123,0,0.259,0.175,0.182,0,0.246,0.199,0.35,0.291,
104,0.059,0.21,0.468,0.211,0.246,0.151,0.164,0.059,0.246,0.059,0.291,0.265,0.123,0,0.233,0.175,0.119,0.059,0.246,0.199,0.35,0.246,
105,0.059,,0.409,0.246,0.246,0.116,0.164,0.059,0.246,0.059,0.246,0.291,0.123,0,0.186,0.175,0.119,0.059,0.246,0.21,0.246,0.291,
106,0.059,0.169,0.409,0.246,0.246,0.116,0.164,0.059,0.246,0.059,0.246,0.291,0.105,0,0.175,0.175,0.119,0,0.246,0.21,0.246,0.246,
107,0.059,0.169,0.275,0.246,0.199,0.06,0.21,0.059,0.246,0.059,0.246,0.246,0.105,0,0.175,0.119,0.119,0,0.212,0.21,0.246,0.246,
108,0.059,0,0.245,0.246,0.199,0.059,0.21,0.06,0.246,0.059,0.219,0.246,0.139,0,0.175,0.059,0.175,0,0.181,0.21,0.155,0.246,
109,0.059,0.082,0.245,0,0.199,0.118,0.246,0.059,0.246,0,0.133,0.246,0.342,0,0.175,0.119,0.211,0,0.181,0.116,0.155,0.246,
110,0.059,0.158,0.245,0.001,0.199,0.059,0.246,0.059,0.246,0,0.142,0.246,0.207,0,0.118,0.06,0.119,0,0.372,0.123,0.154,0.246,
111,0.059,0.158,0.212,0.001,0.189,0.059,0.246,0.059,0.246,0,0.174,0.246,0.199,0,0.06,0.06,0.175,0,0.372,0.123,0.119,0.211,
112,0.059,0.143,0.212,0.001,0.181,0.06,0.246,0.059,0.246,0,0.223,0.246,0.175,0,0.211,0.059,0.119,0,0.468,0.123,0.06,0.246,
113,0,0.152,0.212,0.066,0.037,0.001,0.175,0.059,0.246,0,0.19,0.246,0.175,0,0.365,0.059,0.119,0,0.468,0.123,0.119,0.211,
114,0.059,0.139,0.244,0.064,0.037,0.119,0.175,0.059,0.246,0,0.19,0.246,0.175,0,0.409,0.059,0.119,0,0.409,0.21,0.119,0.152,
115,0.059,0.139,0.233,0.119,0,0.21,0.175,0.059,0.246,0,0.145,0.291,0.175,0,0.409,0.059,0.059,0,0.409,0.21,0.119,0.21,
116,0,0.119,0.218,0.119,0.115,0.21,0.175,0,0.21,0,0.137,0.246,0.175,0,0.246,0.059,0.059,0,0.409,0.21,0.06,0.175,
117,0.059,0.119,0.246,0.119,0.06,0.21,0.175,0,0.21,0,0.137,0.246,0.175,0,0.21,0.059,0.059,0,0.246,0.21,0.059,0.119,
118,0,0.119,0.246,0.119,0.06,0.06,0.116,0,0.175,0,0.159,0.246,0.175,0,0.154,0.059,0.059,0,0.246,0.21,0.118,0.175,
119,0,0.119,0.246,0.06,0.06,0.059,0.116,0.059,0.175,0,0,0.211,0.175,0,0.118,0,0.059,0.038,0.246,0.175,0.059,0.119,
120,0,0.06,0.246,0.06,0.059,0,0.06,0,0.175,0,0.175,0.211,0.116,0,0.06,0.059,0.06,0,0.246,0.175,0.059,0.119,
121,0,0.116,0.246,0.06,0.059,0,0.06,0,0.175,0,0.175,0.211,0.175,0,0.001,0.059,0.059,0,0.246,0.175,0.059,0.059,
122,0,0.115,0.246,0.059,0.059,0,0.06,0,0.175,0,0.175,0.211,0.119,0,0.06,0.059,0.059,0,0.21,0.175,0.059,0.059,
123,0,0.059,0.246,0.059,0.118,0,0.059,0,0.174,0,0.175,0.123,0.118,0,0.059,0,0.059,0,0.21,0.163,0.059,0.001,
124,0,0.059,0.246,0.059,0.118,0,0.059,0,0.174,0,0.175,0.175,0.059,0,0.059,0,0.059,0,0.175,0.06,0.059,0.059,
125,0,0.059,0.246,0.059,0.118,0,0.059,0,0.175,0,0.175,0.175,0.119,0,0.059,0,0.059,0,0.175,0.06,0,0.059,
126,0,0.059,0.211,0.059,0.118,0,0,0,0.132,0,0.06,0.175,0.119,0,0.059,0,0.059,0,0.211,0.06,0.059,0.059,
127,0,0.06,0.246,0.059,0.059,0.059,0.059,0,0.132,0,0.06,0.115,0.06,0,0,0,0,0,0.175,0.06,0,0.115,
128,0,0.059,0.246,0.059,0.059,0,0,0,0.132,0,0.06,0.119,0.06,0,0,0.059,0,0,0.175,0.059,0.059,0.115,
129,0.059,0.059,0.246,0.059,0.118,0,0,0,0.116,0,0.059,0.059,0.059,0,0,0.059,0,0,0.175,0.06,0,0.06,
130,0.15,0.059,0.21,0.059,0.059,0,0,0.058,0.059,0,0.059,0.059,0.059,0,0,0.059,0,0,0.175,0.06,0,0.059,
131,0.15,0.059,0.21,0.059,0.059,0,0,0.056,0.059,0,0.115,0.119,0.103,0,0,0,0.059,0,0.175,0.059,0,0.059,
132,0.15,0.059,0.21,0.059,0.059,0,0,0,0.115,0,0.115,0.118,0.064,0,0,0,0,0,0.175,0.059,0,0.059,
133,0.059,0.059,0.175,0.059,0.059,0,0,0,0.175,0,0.059,0,0.064,0,0,0,0,0,0.175,0.059,0,0.059,
134,0,0.059,0.174,0.059,0.059,0,0,0,0.059,0,0.059,0.059,0.114,0,0,0,0,0,0.119,0.059,0,0.059,
135,0,0.059,0.175,0.059,0.059,0,0,0,0.059,0,0.059,0.059,0.059,0,0,0,0,0,0.175,0.059,0,0,
136,0,0.059,0.116,0,0.059,0,0,0,0.059,0,0.059,0.059,0.059,0,0,0,0,0,0.175,0.059,0,0,
137,0,0,0.174,0.059,0,0,0,0,0.06,0,0.059,0.059,0.059,0,0,0,0,0,0.06,0.059,0,0,
