doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
63,0.342,0.342,0.705,0.588,0.375,0.342,0.342,0.375,0.63,0.375,0.342,0.805,0.342,0.069,0.63,0.342,0.529,0.342,0.588,0.428,0.428,0.293,
64,0.342,0.342,0.681,0.351,0.375,0.342,0.342,0.375,0.63,0.375,0.342,0.805,0.342,0.069,0.63,0.342,0.342,0.342,0.63,0.428,0.428,0.408,
65,0.342,0.342,0.681,0.375,0.357,0.342,0.342,0.375,0.63,0.351,0.342,0.805,0.342,0.069,0.63,0.294,0.342,0.279,0.63,0.428,0.342,0.408,
66,0.342,0.342,0.681,0.485,0.357,0.342,0.342,0.375,0.63,0.279,0.417,0.805,0.342,0.069,0.529,0.294,0.342,0.189,0.63,0.342,0.342,0.408,
67,0.342,0.342,0.642,0.443,0.357,0.63,0.342,0.375,0.63,0,0.417,0.805,0.342,0.069,0.428,0.294,0.342,0.189,0.63,0.342,0.342,0.408,
68,0.342,0.342,0.642,0.443,0.357,0.73,0.342,0.342,0.63,0.171,0.604,0.805,0.342,0,0.428,0.294,0.342,0.254,0.428,0.342,0.342,0.408,
69,0.342,0.342,0.642,0.443,0.536,0.73,0.342,0.342,0.529,0.171,0.705,0.805,0.342,0,0.428,0.294,0.342,0.169,0.428,0.342,0.342,0.307,
70,0.342,0.342,0.63,0.342,0.536,0.73,0.342,0.342,0.443,0.171,0.705,0.783,0.342,0,0.428,0.22,0.342,0.169,0.428,0.342,0.342,0.307,
71,0.342,0.189,0.63,0.342,0.536,0.63,0.342,0.342,0.443,0.154,0.705,0.7,0.342,0.508,0.342,0.22,0.342,0.169,0.428,0.342,0.342,0.447,
72,0.342,0.171,0.63,0.428,0.536,0.63,0.342,0.342,0.342,0.154,0.705,0.7,0.279,0.428,0.342,0.22,0.342,0.254,0.428,0.342,0.342,0.552,
73,0.342,0.171,0.63,0.428,0.428,0.63,0.342,0.342,0.342,0.154,0.705,0.7,0.279,0.428,0.279,0.22,0.223,0.254,0.428,0.342,0.342,0.761,
74,0.342,0.171,0.63,0.428,0.428,0.529,0.428,0.342,0.342,0.069,0.705,0.408,0.279,0.428,0.279,0.22,0.223,0.254,0.428,0.342,0.342,0.761,
75,0.342,0.171,0.63,0.428,0.342,0.428,0.536,0.342,0.342,0.069,0.428,0.662,0.279,0.428,0.279,0.332,0.342,0.199,0.428,0.342,0.342,0.761,
76,0.342,0,0.63,0.428,0.342,0.428,0.536,0.342,0.342,0.154,0.529,0.63,0.342,0.428,0.279,0.436,0.342,0.199,0.428,0.342,0.342,0.761,
77,0.342,0,0.588,0.373,0.342,0.342,0.428,0.342,0.342,0.154,0.529,0.63,0.342,0.342,0.189,0.436,0.342,0.091,0.428,0.342,0.342,0.761,
78,0.342,0,0.588,0.428,0.342,0.342,0.428,0.342,0.342,0.154,0.529,0.63,0.342,0.342,0.189,0.342,0.342,0.154,0.428,0.274,0.342,0.761,
79,0.342,,0.553,0.342,0.342,0.294,0.428,0.342,0.342,0.154,0.529,0.63,0.342,0.342,0.342,0.342,0.342,0.254,0.428,0.274,0.342,0.695,
80,0.342,,,0.342,0.342,0.294,0.342,0.342,0.342,0.154,0.428,0.63,0.342,0.342,0.342,0.342,0.342,0.069,0.342,0.545,0.342,0,
